id,level,hanja,mean,sound
1,8,九,아홉,구
2,8,金,쇠,금
3,8,南,남녘,남
4,8,男,사내,남
5,8,女,여자,녀
6,8,東,동녘,동
7,8,六,여섯,륙
8,8,母,어머니,모
9,8,木,나무,목
10,8,門,문,문
11,8,父,아버지,부
12,8,北,북녘,북
13,8,四,넉,사
14,8,三,석,삼
15,8,西,서녘,서
16,8,水,물,수
17,8,十,열,십
18,8,五,다섯,오
19,8,月,달,월
20,8,二,두,이
21,8,人,사람,인
22,8,日,날,일
23,8,一,한,일
24,8,子,아들,자
25,8,弟,아우,제
26,8,七,일곱,칠
27,8,土,흙,토
28,8,八,여덟,팔
29,8,兄,맏,형
30,8,火,불,화
31,7,江,강,강
32,7,口,입,구
33,7,內,안,내
34,7,年,해,년
35,7,大,큰,대
36,7,目,눈,목
37,7,白,흰,백
38,7,山,메(뫼),산
39,7,上,위,상
40,7,小,작을,소
41,7,手,손,수
42,7,外,바깥,외
43,7,右,오른,우
44,7,入,들,입
45,7,足,발,족
46,7,左,왼,좌
47,7,中,가운데,중
48,7,靑,푸를,청
49,7,出,날,출
50,7,下,아래,하
51,6,犬,개,견
52,6,己,몸,기
53,6,林,수풀,림
54,6,馬,말,마
55,6,名,이름,명
56,6,百,일백,백
57,6,生,날,생
58,6,石,돌,석
59,6,先,먼저,선
60,6,姓,성씨,성
61,6,心,마음,심
62,6,羊,양,양
63,6,魚,물고기,어
64,6,玉,구슬,옥
65,6,牛,소,우
66,6,耳,귀,이
67,6,地,땅,지
68,6,川,내,천
69,6,千,일천,천
70,6,天,하늘,천
71,준5,車,수레,거
72,준5,巾,수건,건
73,준5,古,예,고
74,준5,工,장인,공
75,준5,今,이제,금
76,준5,同,한가지,동
77,준5,力,힘,력
78,준5,立,설,립
79,준5,末,끝,말
80,준5,文,글월,문
81,준5,方,모,방
82,준5,本,근본,본
83,준5,夫,지아비,부
84,준5,不,아니,불
85,준5,士,선비,사
86,준5,夕,저녁,석
87,준5,世,세상,세
88,준5,少,적을,소
89,준5,食,먹을,식
90,준5,央,가운데,앙
91,준5,王,임금,왕
92,준5,位,자리,위
93,준5,衣,옷,의
94,준5,字,글자,자
95,준5,自,스스로,자
96,준5,正,바를,정
97,준5,主,주인,주
98,준5,寸,마디,촌
99,준5,向,향할,향
100,준5,休,쉴,휴
101,5,歌,노래,가
102,5,家,집,가
103,5,各,각각,각
104,5,間,사이,간
105,5,强,강할,강
106,5,開,열,개
107,5,去,갈,거
108,5,見,볼,견
109,5,京,서울,경
110,5,計,셀,계
111,5,高,높을,고
112,5,功,공,공
113,5,空,빌,공
114,5,共,함께,공
115,5,科,과목,과
116,5,光,빛,광
117,5,敎,가르칠,교
118,5,交,사귈,교
119,5,校,학교,교
120,5,區,나눌,구
121,5,國,나라,국
122,5,軍,군사,군
123,5,近,가까울,근
124,5,急,급할,급
125,5,旗,기,기
126,5,記,기록할,기
127,5,氣,기운,기
128,5,農,농사,농
129,5,多,많을,다
130,5,短,짧을,단
131,5,答,대답,답
132,5,當,마땅할,당
133,5,對,대답할,대
134,5,代,대신할,대
135,5,道,길,도
136,5,刀,칼,도
137,5,讀,읽을,독
138,5,冬,겨울,동
139,5,洞,고을,동
140,5,頭,머리,두
141,5,等,무리,등
142,5,登,오를,등
143,5,樂,즐거울,락
144,5,來,올,래
145,5,老,늙을,로
146,5,理,다스릴,리
147,5,里,마을,리
148,5,利,이로울,리
149,5,萬,일만,만
150,5,每,매양,매
151,5,面,낯,면
152,5,命,목숨,명
153,5,明,밝을,명
154,5,毛,털,모
155,5,無,없을,무
156,5,聞,들을,문
157,5,問,물을,문
158,5,物,물건,물
159,5,米,쌀,미
160,5,民,백성,민
161,5,班,나눌,반
162,5,半,절반,반
163,5,放,놓을,방
164,5,番,차례,번
165,5,別,다를,별
166,5,步,걸음,보
167,5,部,거느릴,부
168,5,分,나눌,분
169,5,社,모일,사
170,5,事,일,사
171,5,死,죽을,사
172,5,色,빛,색
173,5,書,글,서
174,5,線,줄,선
175,5,性,성품,성
176,5,成,이룰,성
177,5,所,바,소
178,5,首,머리,수
179,5,詩,글,시
180,5,時,때,시
181,5,示,보일,시
182,5,市,저자,시
183,5,植,심을,식
184,5,神,귀신,신
185,5,身,몸,신
186,5,信,믿을,신
187,5,新,새로울,신
188,5,室,집,실
189,5,安,편안할,안
190,5,夜,밤,야
191,5,弱,약할,약
192,5,語,말씀,어
193,5,言,말씀,언
194,5,永,길,영
195,5,英,꽃부리,영
196,5,午,낮,오
197,5,用,쓸,용
198,5,友,벗,우
199,5,遠,멀,원
200,5,原,"언덕,근본",원
201,5,元,으뜸,원
202,5,有,있을,유
203,5,肉,고기,육
204,5,育,기를,육
205,5,銀,은,은
206,5,音,소리,음
207,5,邑,고을,읍
208,5,意,뜻,의
209,5,作,지을,작
210,5,長,긴,장
211,5,場,마당,장
212,5,才,재주,재
213,5,田,밭,전
214,5,電,번개,전
215,5,前,앞,전
216,5,全,온전할,전
217,5,朝,아침,조
218,5,祖,할아비,조
219,5,晝,낮,주
220,5,住,살,주
221,5,竹,대,죽
222,5,重,무거울,중
223,5,直,곧을,직
224,5,草,풀,초
225,5,村,마을,촌
226,5,秋,가을,추
227,5,春,봄,춘
228,5,親,친할,친
229,5,太,클,태
230,5,通,통할,통
231,5,貝,조개,패
232,5,便,편할,편
233,5,平,평평할,평
234,5,夏,여름,하
235,5,學,배울,학
236,5,韓,나라이름,한
237,5,漢,한수,한
238,5,合,합할,합
239,5,海,바다,해
240,5,行,다닐,행
241,5,血,피,혈
242,5,形,모양,형
243,5,花,꽃,화
244,5,話,말씀,화
245,5,和,"화할,화목할",화
246,5,活,살,활
247,5,黃,누를,황
248,5,會,모일,회
249,5,孝,효도,효
250,5,後,뒤,후
251,준4,加,더할,가
252,준4,可,옳을,가
253,준4,角,뿔,각
254,준4,感,느낄,감
255,준4,客,손님,객
256,준4,格,격식,격
257,준4,決,결단할,결
258,준4,結,맺을,결
259,준4,輕,가벼울,경
260,준4,敬,공경할,경
261,준4,界,지경,계
262,준4,苦,괴로울,고
263,준4,考,상고할,고
264,준4,告,알릴,고
265,준4,曲,굽을,곡
266,준4,公,공변될,공
