id,level,hanja,mean,sound
1,9,雨,비,우
2,9,高,높을,고
3,9,交,사귈,교
4,9,老,늙을,로
5,9,萬,일만,만
6,9,面,낯,면
7,9,身,몸,신
8,9,長,긴,장
9,9,田,밭,전
10,9,行,다닐,행
11,9,馬,말,마
12,9,石,돌,석
13,9,心,마음,심
14,9,羊,양,양
15,9,魚,물고기,어
16,9,玉,구슬,옥
17,9,牛,소,우
18,9,天,하늘,천
19,9,川,내,천
20,9,口,입,구
21,9,大,큰,대
22,9,目,눈,목
23,9,山,메(뫼),산
24,9,手,손,수
25,9,足,발,족
26,9,女,여자,녀
27,9,母,어머니,모
28,9,木,나무,목
29,9,門,문,문
30,9,父,아버지,부
31,9,水,물,수
32,9,月,달,월
33,9,人,사람,인
34,9,日,날,일
35,9,子,아들,자
36,9,土,흙,토
37,9,火,불,화
38,9,果,과실,과
39,9,兒,아이,아
40,9,車,수레,거
41,9,工,장인,공
42,9,力,힘,력
43,9,立,설,립
44,9,文,글월,문
45,9,夫,지아비,부
46,9,夕,저녁,석
47,9,王,임금,왕
48,9,衣,옷,의
49,9,自,스스로,자
50,9,主,주인,주
51,8,建,세울,건
52,8,季,철,계
53,8,故,연고,고
54,8,令,"하여금,명령할",령
55,8,商,장사,상
56,8,眞,참,진
57,8,次,버금,차
58,8,則,법칙,칙
59,8,回,돌,회
60,8,家,집,가
61,8,見,볼,견
62,8,科,과목,과
63,8,光,빛,광
64,8,軍,군사,군
65,8,樂,즐거울,락
66,8,來,올,래
67,8,利,이로울,리
68,8,毛,털,모
69,8,無,없을,무
70,8,民,백성,민
71,8,分,나눌,분
72,8,事,일,사
73,8,色,빛,색
74,8,書,글,서
75,8,成,이룰,성
76,8,市,저자,시
77,8,示,보일,시
78,8,言,말씀,언
79,8,午,낮,오
80,8,用,쓸,용
81,8,元,으뜸,원
82,8,原,"언덕,근본",원
83,8,有,있을,유
84,8,肉,고기,육
85,8,音,소리,음
86,8,邑,고을,읍
87,8,全,온전할,전
88,8,太,클,태
89,8,合,합할,합
90,8,己,몸,기
91,8,名,이름,명
92,8,百,일백,백
93,8,生,날,생
94,8,千,일천,천
95,8,內,안,내
96,8,年,해,년
97,8,白,흰,백
98,8,上,위,상
99,8,小,작을,소
100,8,外,바깥,외
101,8,入,들,입
102,8,中,가운데,중
103,8,下,아래,하
104,8,九,아홉,구
105,8,南,남녘,남
106,8,男,사내,남
107,8,東,동녘,동
108,8,北,북녘,북
109,8,四,넉,사
110,8,三,석,삼
111,8,西,서녘,서
112,8,十,열,십
113,8,五,다섯,오
114,8,六,여섯,륙
115,8,二,두,이
116,8,一,한,일
117,8,弟,아우,제
118,8,七,일곱,칠
119,8,八,여덟,팔
120,8,兄,맏,형
121,8,單,홑,단
122,8,容,얼굴,용
123,8,角,뿔,각
124,8,曲,굽을,곡
125,8,能,능할,능
126,8,法,법,법 
127,8,兵,군사,병
128,8,史,역사,사
129,8,臣,신하,신
