hanja,sound,mean
朝變夕改,조변석개,朝 아침 조 變 변할 변 夕 저녁 석 改 고칠 개-「아침, 저녁으로 뜯어고친다.」는 뜻으로, 계획(計劃)이나 결정(決定) 따위를 자주 바꾸는 것
改過遷善,개과천선,改 고칠 개 過 지날 과 遷 옮길 천 善 착할 선-지난날의 잘못을 고치어 착하게 됨.
此日彼日, 차일피일,此 이 차 日 날 일 彼 저 피-「이 날 저 날」의 뜻으로, 오늘 내일 하며 자꾸 기한(期限)을 늦춤.
彼此一般,피차일반,彼 저 피 此 이 차 一 한 일 般 가지 반-저것이나 이것이나 마찬가지임. 다 같음.
誰怨誰咎, 수원수구,誰 누구 수 怨 원망할 원 咎 허물 구-「누구를 원망(怨望)하며 누구를 탓하랴」라는 뜻으로, 곧, 남을 원망(怨望)하거나 꾸짖을 것이 없음.
縱橫無盡,종횡무진,縱 세로 종 橫 가로 횡 無 없을 무 盡 다할 진-행동(行動)이 마음 내키는 대로 자유자재(自由自在)로 함.
橫說竪說,횡설수설,橫 가로 횡 說 말씀 설 竪 세울 수-橫 가로 횡 說 말씀 설 竪 세울 수-「말을 이렇게 했다가 저렇게 했다가 하다.」라는 뜻으로, 두서(頭緖)가 없이 아무렇게나 떠드는 것.
合從連橫,합종연횡,合 합할 합 從 좇을 종 連 잇닿을 련(연) 橫 가로 횡
機會均等,기회균등,機 틀 기 會 모일 회 均 고를 균 等 무리 등-機 틀 기 會 모일 회 均 고를 균 等 무리 등
六十甲子,육십갑자,갑(甲), 을(乙), 병(丙), 정(丁), 무(戊), 기(己), 경(庚), 신(辛), 임(壬), 계(癸),자(子), 축(丑), 인(寅), 묘(卯), 진(辰), 사(巳), 오(午), 미(未), 신(申), 유(酉), 술(戌), 해(亥)
是是非非, 시시비비, 是 이 시 非 아닐 비
權不十年, 권불십년,權 저울추 권 不 아닐 부 十 열 십 年 해 년(연)-「권세(權勢)는 10년을 넘지 못한다.」는 뜻으로,
權謀術數, 권모술수,權 저울추 권 謀 꾀 모 術 재주 술 數 셈 수-목적(目的)을 위(爲)해 남을 교묘(巧妙)하게 속이는 모략(謀略)이나 술수(術數).
氣盡脈盡,기진맥진,氣 기운 기 盡 다할 진 脈 줄기 맥-「기운(氣運)이 없어지고 맥이 풀렸다.」는 뜻으로, 온몸의 힘이 다 빠져 버림.
轉禍爲福, 전화위복,轉 구를 전 禍 재앙 화 爲 할 위 福 복 복-「화가 바뀌어 오히려 복(福)이 된다.」
